Data,ICE US Treasury 7-10 Year Bond
11/2011,15969.816996387832
12/2011,16248.170580289292
01/2012,16396.109213935117
02/2012,16241.636623969936
03/2012,15985.350552920645
04/2012,16389.275858000048
05/2012,16842.602099671894
06/2012,16774.321375547504
07/2012,16999.505110046972
08/2012,16983.795436093154
09/2012,16943.464546682568
10/2012,16889.220381012427
11/2012,17060.42412597327
12/2012,16924.391029987513
01/2013,16665.075739296903
02/2013,16851.84826427476
03/2013,16921.99583306182
04/2013,17167.679635366494
05/2013,16620.67653746106
06/2013,16224.429951937556
07/2013,16149.703330204316
08/2013,15975.347083407452
09/2013,16219.28732324415
10/2013,16361.097070638938
11/2013,16215.571245660907
12/2013,15904.723997583667
01/2014,16329.16698221038
02/2014,16412.629028025567
03/2014,16323.196601638245
04/2014,16455.953913593272
05/2014,16767.85786619655
06/2014,16727.350859364953
07/2014,16681.525106418954
08/2014,16986.983161413376
09/2014,16805.247594676322
10/2014,17080.27255932075
11/2014,17300.260829900515
12/2014,17340.08097879018
01/2015,18040.13011555064
02/2015,17620.0196194807
03/2015,17773.805351503954
04/2015,17659.43469830205
05/2015,17633.034696893115
06/2015,17337.967569738095
07/2015,17549.39653365692
08/2015,17590.484727977837
09/2015,17851.068064099698
10/2015,17745.890740274357
11/2015,17669.121156457433
12/2015,17611.742100693376
01/2016,18167.39256397025
02/2016,18440.814860083516
03/2016,18432.643011748794
04/2016,18414.080235574664
05/2016,18400.448747188726
06/2016,18947.310951157357
07/2016,19001.44944637489
08/2016,18838.43516149087
09/2016,18844.405542063007
10/2016,18573.30799590703
11/2016,17825.98894334831
12/2016,17792.96692690951
01/2017,17819.824833613067
02/2017,17955.628976951513
03/2017,17964.522906712366
04/2017,18163.5355924502
05/2017,18322.05888309854
06/2017,18215.085161578925
07/2017,18283.823790997936
08/2017,18551.698388349483
09/2017,18297.19110325236
10/2017,18262.79537092971
11/2017,18209.995368111828
12/2017,18250.854609785438
01/2018,17853.35759057279
02/2018,17688.03616747358
03/2018,17909.5918831003
04/2018,17688.5645197366
05/2018,17880.426838181553
06/2018,17889.778673237022
07/2018,17787.155052016282
08/2018,17985.093421485977
09/2018,17749.04324211038
10/2018,17685.79947622679
11/2018,17924.456193433285
12/2018,18414.74948177449
01/2019,18546.80232404549
02/2019,18478.310259015892
03/2019,18943.61248531621
04/2019,18859.939098595816
05/2019,19425.41691396488
06/2019,19692.798382537607
07/2019,19671.699515500975
08/2019,20453.801758708567
09/2019,20227.80788407247
10/2019,20259.667525532623
11/2019,20128.319152945653
12/2019,19979.44709696849
01/2020,20622.610306743714
02/2020,21267.076785434387
03/2020,22045.850409384948
04/2020,22166.772630648305
05/2020,22192.820397215233
06/2020,22207.068296574693
07/2020,22396.44735938345
08/2020,22209.357823047783
09/2020,22268.110594695696
10/2020,21978.6440015287
11/2020,22042.838801485726
12/2020,21977.692967455263
01/2021,21718.273086930363
02/2021,21118.88695584777
03/2021,20712.453223364897
04/2021,20923.154550451112
05/2021,21007.47033853049
06/2021,21232.429664637006
07/2021,21653.480259940174
08/2021,21572.50903111877
09/2021,21225.916703950603
10/2021,21129.103211197227
11/2021,21363.567869983934
12/2021,21275.555592172244
01/2022,20806.626274598813
02/2022,20723.014732652875
03/2022,19891.474794544687
04/2022,19062.399396916233
05/2022,19192.305396220756
06/2022,19008.359772828833
07/2022,19586.072327920654
08/2022,18836.911982505826
09/2022,17950.62843096663
