Data,MSCI World Small Cap
2019-01,39445.16504178273
2019-02,41194.02400140155
2019-03,41622.87587894971
2019-04,43003.151230165815
2019-05,40456.76481929872
2019-06,41969.39301405976
2019-07,43085.295892745045
2019-08,42062.63025552737
2019-09,43530.89043989347
2019-10,43680.02586516048
2019-11,45814.7968493899
2019-12,46357.93408403062
2020-01,45820.72633912414
2020-02,41904.37282499773
2020-03,33287.3720335889
2020-04,38049.801351599854
2020-05,39806.031294899425
2020-06,40621.75111627077
2020-07,39902.02017218096
2020-08,41866.18756281408
2020-09,41790.16330714041
2020-10,41825.48978457856
2020-11,47138.990191986646
2020-12,49430.01629859016
2021-01,51020.780982201715
2021-02,53645.96196683442
2021-03,56658.52196162047
2021-04,57134.25571097501
2021-05,57080.73354643062
2021-06,58744.82022046449
2021-07,58319.99327222269
2021-08,60042.961804968734
2021-09,59482.00557042922
2021-10,61290.10528123659
2021-11,59781.369928716
2021-12,62220.18369238919
2022-01,58402.97095733238
2022-02,58318.312706491655
2022-03,59415.45513917665
2022-04,57716.69027514232
2022-05,56703.26117800803
2022-06,52672.10498700299
2022-07,58548.779025299074
2022-08,57783.4917
2022-09,53223.301805498566
2022-10,56551.386221504945
2022-11,57383.49378373169
2022-12,53932.18479279955
2023-01,58032.002953937044
2023-02,58012.85012713061
2023-03,55232.084229885055
2023-04,54666.21828613058
2023-05,54667.201628755975
2023-06,57148.165516289344
2023-07,59110.85031298194
2023-08,57689.97258005153
2023-09,56107.287946007185
2023-10,52549.985309351156
2023-11,55825.82888116367
2023-12,60563.59244343891
2024-01,60053.441358309494
2024-02,62140.828745612416
2024-03,64691.91295902322
2024-04,61908.72261615972
