Data,MSCI USA Small Cap
2008-12,8345.616188833801
2009-01,8245.84472534332
2009-02,7404.039425814615
2009-03,7721.723624887286
2009-04,9091.282900188324
2009-05,8906.610299333239
2009-06,8981.688446299702
2009-07,9830.9319210638
2009-08,10198.793757006726
2009-09,10553.991156183843
2009-10,9809.670506756756
2009-11,10040.02253211742
2009-12,11265.664133000137
2010-01,11235.624266074754
2010-02,12124.75099484156
2010-03,13181.841716744564
2010-04,14063.932707472775
2010-05,14043.616803445195
2010-06,13043.606592779723
2010-07,13162.918137856923
2010-08,12687.088643533125
2010-09,13165.879579425557
2010-10,13464.617702244353
2010-11,14805.387521157101
2010-12,15542.246931597068
2011-01,15353.657756354078
2011-02,15964.659932051469
2011-03,15893.623777011331
2011-04,15635.9065948856
2011-05,15915.980952380954
2011-06,15501.873763232545
2011-07,15121.212272089762
2011-08,13652.205847750864
2011-09,13008.11849218692
2011-10,14419.061495607459
2011-11,14999.440863019821
2011-12,15564.210796815827
2012-01,16361.71539162113
2012-02,16636.174365840958
2012-03,17121.799153938304
2012-04,17162.14087331618
2012-05,17043.23695880029
2012-06,17424.148332009536
2012-07,17717.980462390104
2012-08,17886.023630164138
2012-09,17907.05150812065
2012-10,17579.38155160471
2012-11,17836.20749268443
2012-12,18044.81681067152
2013-01,18736.76774907749
2013-02,19570.550422728313
2013-03,20993.329871144084
2013-04,20569.018551101595
2013-05,21417.09657081347
2013-06,21117.939373088684
2013-07,22178.073220338985
2013-08,21559.969739327542
2013-09,22378.921177341723
2013-10,22861.814053221904
2013-11,23613.206413929907
2013-12,23868.394423899645
2014-01,23884.233168097067
2014-02,24540.598638963296
2014-03,24473.270271250363
2014-04,23726.80942238267
2014-05,24405.879143088114
2014-06,25573.352943329923
2014-07,24790.080686149933
2014-08,26453.209053685172
2014-09,26269.41337518875
2014-10,27621.07968700096
2014-11,27941.313105823923
2014-12,29159.192158800757
2015-01,30566.575187969924
2015-02,32602.517927046258
2015-03,34498.55344362858
2015-04,32520.29050378957
2015-05,33931.69612579763
2015-06,33113.87456430423
2015-07,33575.20935533874
2015-08,30909.691662951405
2015-09,29493.104079264478
2015-10,31677.8788236362
2015-11,33692.47353246999
2015-12,31332.13240562138
2016-01,28786.619459706963
2016-02,29114.787793901538
2016-03,30226.089020641193
2016-04,30713.10970797158
2016-05,32039.265644611798
2016-06,32219.253963249867
2016-07,33868.00625393684
2016-08,34119.22493711822
2016-09,34233.16253023922
2016-10,33443.25470491503
2016-11,37606.46154207805
2016-12,38769.56806754577
2017-01,38537.061971176205
2017-02,40012.55369444182
2017-03,39643.94771302966
2017-04,39131.398536139066
2017-05,37620.44421174583
2017-06,37956.68660182264
2017-07,37415.510531252665
2017-08,36827.10473572938
2017-09,38724.279434186006
2017-10,39872.86045712322
2017-11,40280.778799898726
2017-12,39970.844450929704
2018-01,39493.10311471462
2018-02,38641.72842639594
2018-03,38718.57247788329
2018-04,39667.078648894785
2018-05,43220.17005726985
2018-06,43726.07707153886
2018-07,44184.79567143831
2018-08,46477.56055274225
2018-09,45893.68115065654
2018-10,42169.53980385227
2018-11,42803.9830090677
2018-12,37685.98139737991
2019-01,41957.385445682456
2019-02,44274.389803784165
2019-03,44542.99773030708
2019-04,46138.798538063835
2019-05,42962.38077302484
2019-06,44971.52289103691
2019-07,46512.31629450274
2019-08,45042.99578651686
2019-09,46450.65570759482
2019-10,46160.69181459566
2019-11,48768.130304134036
2019-12,48925.6303631832
2020-01,48407.63757690916
2020-02,44491.66634781817
2020-03,34484.04463307777
2020-04,39906.26691798456
2020-05,41764.626840876444
2020-06,42870.22401321665
2020-07,42133.24105334233
2020-08,43718.69304857621
2020-09,43299.722326614276
2020-10,44413.437938109084
2020-11,50578.57800500834
2020-12,53254.61319370875
2021-01,55883.59422379697
2021-02,59585.470670736744
2021-03,62896.48285714285
2021-04,63310.19723555703
2021-05,62646.1165068437
2021-06,65272.64885560418
2021-07,63832.87906820284
2021-08,65609.68552475917
2021-09,65119.89213230849
2021-10,67819.90601116358
2021-11,66507.78025169409
2021-12,68982.94530284301
2022-01,64410.85147006096
2022-02,64810.62532368961
2022-03,66218.39000990901
2022-04,63910.518500948754
2022-05,62974.429898254464
2022-06,59049.88654086839
2022-07,66566.79113551677
2022-08,66178.55575
2022-09,61459.39136233073
2022-10,66666.93675610248
2022-11,66332.47171356977
2022-12,60674.77657978624
2023-01,65952.46224499216
2023-02,66120.96722855259
2023-03,61830.80519540231
2023-04,60379.798424551496
2023-05,60985.508284189826
2023-06,65131.403368304804
2023-07,67533.38211013336
2023-08,65706.759201325
2023-09,63542.06550877856
2023-10,59416.61790187399
2023-11,62978.70181136219
2023-12,69364.60669683259
2024-01,68298.03026667896
2024-02,72048.68547940145
2024-03,74922.93733234669
